hour,date,month,quantity
20,14,12,0
21,14,12,0
22,14,12,0
23,14,12,0
0,15,12,0
1,15,12,0
2,15,12,0
3,15,12,0
4,15,12,0
5,15,12,0
6,15,12,0
7,15,12,70
8,15,12,112
9,15,12,1078
10,15,12,1325
11,15,12,5901
12,15,12,2294
13,15,12,2994
14,15,12,1722
15,15,12,2697
16,15,12,732
17,15,12,201
18,15,12,0
19,15,12,0
20,15,12,0
21,15,12,0
22,15,12,0
23,15,12,0
0,16,12,0
1,16,12,0
2,16,12,0
3,16,12,0
4,16,12,0
5,16,12,0
6,16,12,0
7,16,12,189
8,16,12,864
9,16,12,2108
10,16,12,8300
11,16,12,2087
12,16,12,1628
13,16,12,3662
14,16,12,3043
15,16,12,1109
16,16,12,614
17,16,12,4428
18,16,12,0
19,16,12,0
20,16,12,0
21,16,12,0
22,16,12,0
23,16,12,0
0,17,12,0
1,17,12,0
2,17,12,0
3,17,12,0
4,17,12,0
5,17,12,0
6,17,12,0
7,17,12,18
8,17,12,335
9,17,12,225
10,17,12,114
11,17,12,369
12,17,12,192
13,17,12,710
14,17,12,3485
15,17,12,1212
16,17,12,857
17,17,12,1885
18,17,12,0
19,17,12,0
20,17,12,0
21,17,12,0
22,17,12,0
23,17,12,0
0,19,12,0
1,19,12,0
2,19,12,0
3,19,12,0
4,19,12,0
5,19,12,0
6,19,12,0
7,19,12,9
8,19,12,61
9,19,12,117
10,19,12,216
11,19,12,1463
12,19,12,84
13,19,12,361
14,19,12,989
15,19,12,844
16,19,12,153
17,19,12,45
18,19,12,0
19,19,12,0
20,19,12,0
21,19,12,0
22,19,12,0
23,19,12,0
0,20,12,0
1,20,12,0
2,20,12,0
3,20,12,0
4,20,12,0
5,20,12,0
6,20,12,0
7,20,12,19
8,20,12,100
9,20,12,325
10,20,12,2075
11,20,12,1234
12,20,12,4231
13,20,12,3366
14,20,12,714
15,20,12,1057
16,20,12,782
17,20,12,940
18,20,12,0
19,20,12,0
20,20,12,0
21,20,12,0
22,20,12,0
23,20,12,0
0,21,12,0
1,21,12,0
2,21,12,0
3,21,12,0
4,21,12,0
5,21,12,0
6,21,12,0
7,21,12,99
8,21,12,76
9,21,12,684
10,21,12,310
11,21,12,106
12,21,12,306
13,21,12,1904
14,21,12,840
15,21,12,4199
16,21,12,116
17,21,12,248
18,21,12,0
19,21,12,0
20,21,12,0
21,21,12,0
22,21,12,0
23,21,12,0
0,22,12,0
1,22,12,0
2,22,12,0
3,22,12,0
4,22,12,0
5,22,12,0
6,22,12,0
7,22,12,126
8,22,12,120
9,22,12,49
10,22,12,940
11,22,12,706
12,22,12,226
13,22,12,355
14,22,12,231
15,22,12,56
16,22,12,317
17,22,12,9
18,22,12,0
19,22,12,0
20,22,12,0
21,22,12,0
22,22,12,0
23,22,12,0
0,23,12,0
1,23,12,0
2,23,12,0
3,23,12,0
4,23,12,0
5,23,12,0
6,23,12,0
7,23,12,42
8,23,12,136
9,23,12,241
10,23,12,131
11,23,12,507
12,23,12,258
13,23,12,2359
14,23,12,826
15,23,12,426
16,23,12,192
17,23,12,34
18,23,12,0
19,23,12,0
20,23,12,0
21,23,12,0
22,23,12,0
23,23,12,0
0,4,1,0
1,4,1,0
2,4,1,0
3,4,1,0
4,4,1,0
5,4,1,0
6,4,1,0
7,4,1,96
8,4,1,69
9,4,1,76
10,4,1,1040
11,4,1,704
12,4,1,1228
13,4,1,2828
14,4,1,1186
15,4,1,1043
16,4,1,301
17,4,1,90
18,4,1,0
19,4,1,0
20,4,1,0
21,4,1,0
22,4,1,0
23,4,1,0
0,5,1,0
1,5,1,0
2,5,1,0
3,5,1,0
4,5,1,0
5,5,1,0
6,5,1,0
7,5,1,83
8,5,1,160
9,5,1,763
10,5,1,4092
11,5,1,4307
12,5,1,3717
13,5,1,2443
14,5,1,285
15,5,1,1508
16,5,1,1272
17,5,1,153
18,5,1,0
19,5,1,0
20,5,1,0
21,5,1,0
22,5,1,0
23,5,1,0
0,6,1,0
1,6,1,0
2,6,1,0
3,6,1,0
4,6,1,0
5,6,1,0
6,6,1,0
7,6,1,64
8,6,1,225
9,6,1,1266
10,6,1,1048
11,6,1,1816
12,6,1,3357
13,6,1,454
14,6,1,2041
15,6,1,3684
16,6,1,2737
17,6,1,636
18,6,1,0
19,6,1,0
20,6,1,0
21,6,1,0
22,6,1,0
23,6,1,0
0,7,1,0
1,7,1,0
2,7,1,0
3,7,1,0
4,7,1,0
5,7,1,0
6,7,1,0
7,7,1,80
8,7,1,30
9,7,1,2718
10,7,1,569
11,7,1,2101
12,7,1,780
13,7,1,2433
14,7,1,3474
15,7,1,378
16,7,1,402
17,7,1,226
18,7,1,0
19,7,1,0
20,7,1,0
21,7,1,0
22,7,1,0
23,7,1,0
0,9,1,0
1,9,1,0
2,9,1,0
3,9,1,0
4,9,1,0
5,9,1,0
6,9,1,0
7,9,1,98
8,9,1,125
9,9,1,38
10,9,1,1596
11,9,1,2091
12,9,1,1379
13,9,1,708
14,9,1,1246
15,9,1,824
16,9,1,94
17,9,1,51
18,9,1,0
19,9,1,0
20,9,1,0
21,9,1,0
22,9,1,0
23,9,1,0
0,10,1,0
1,10,1,0
2,10,1,0
3,10,1,0
4,10,1,0
5,10,1,0
6,10,1,0
7,10,1,48
8,10,1,37
9,10,1,2162
10,10,1,32
11,10,1,1700
12,10,1,91
13,10,1,214
14,10,1,3588
15,10,1,672
16,10,1,1340
17,10,1,214
18,10,1,0
19,10,1,0
20,10,1,0
21,10,1,0
22,10,1,0
23,10,1,0
0,11,1,0
1,11,1,0
2,11,1,0
3,11,1,0
4,11,1,0
5,11,1,0
6,11,1,0
7,11,1,63
8,11,1,5444
9,11,1,3847
10,11,1,1252
11,11,1,335
12,11,1,11495
13,11,1,1400
14,11,1,2661
15,11,1,620
16,11,1,139
17,11,1,93
18,11,1,0
19,11,1,0
20,11,1,0
21,11,1,0
22,11,1,0
23,11,1,0
0,12,1,0
1,12,1,0
2,12,1,0
3,12,1,0
4,12,1,0
5,12,1,0
6,12,1,0
7,12,1,61
8,12,1,111
9,12,1,1621
10,12,1,1101
11,12,1,1894
12,12,1,689
13,12,1,916
14,12,1,307
15,12,1,2008
16,12,1,670
17,12,1,123
18,12,1,0
19,12,1,0
20,12,1,0
21,12,1,0
22,12,1,0
23,12,1,0
0,13,1,0
1,13,1,0
2,13,1,0
3,13,1,0
4,13,1,0
5,13,1,0
6,13,1,0
7,13,1,118
8,13,1,150
9,13,1,1867
10,13,1,2031
11,13,1,728
12,13,1,1624
13,13,1,360
14,13,1,2347
15,13,1,759
16,13,1,147
17,13,1,190
18,13,1,0
19,13,1,0
20,13,1,0
21,13,1,0
22,13,1,0
23,13,1,0
0,14,1,0
1,14,1,0
2,14,1,0
3,14,1,0
4,14,1,0
5,14,1,0
6,14,1,0
7,14,1,88
8,14,1,137
9,14,1,331
10,14,1,1451
11,14,1,418
12,14,1,1041
13,14,1,1948
14,14,1,2217
15,14,1,126
16,14,1,49
17,14,1,58
18,14,1,0
19,14,1,0
20,14,1,0
21,14,1,0
22,14,1,0
23,14,1,0
0,16,1,0
1,16,1,0
2,16,1,0
3,16,1,0
4,16,1,0
5,16,1,0
6,16,1,0
7,16,1,32
8,16,1,127
9,16,1,182
10,16,1,634
11,16,1,230
12,16,1,831
13,16,1,714
14,16,1,415
15,16,1,504
16,16,1,1357
17,16,1,141
18,16,1,0
19,16,1,0
20,16,1,0
21,16,1,0
22,16,1,0
23,16,1,0
0,17,1,0
1,17,1,0
2,17,1,0
3,17,1,0
4,17,1,0
5,17,1,0
6,17,1,0
7,17,1,80
8,17,1,108
9,17,1,51
10,17,1,162
11,17,1,1765
12,17,1,891
13,17,1,1967
14,17,1,1028
15,17,1,1037
16,17,1,1019
17,17,1,4777
18,17,1,0
19,17,1,0
20,17,1,0
21,17,1,0
22,17,1,0
23,17,1,0
0,18,1,0
1,18,1,0
2,18,1,0
3,18,1,0
4,18,1,0
5,18,1,0
6,18,1,0
7,18,1,100
8,18,1,285
9,18,1,368
10,18,1,392
11,18,1,1572
12,18,1,297
13,18,1,1328
14,18,1,631
15,18,1,1397
16,18,1,439
17,18,1,723
18,18,1,0
19,18,1,0
20,18,1,0
21,18,1,0
22,18,1,0
23,18,1,0
0,19,1,0
1,19,1,0
2,19,1,0
3,19,1,0
4,19,1,0
5,19,1,0
6,19,1,0
7,19,1,148
8,19,1,51
9,19,1,324
10,19,1,792
11,19,1,1805
12,19,1,422
13,19,1,677
14,19,1,1002
15,19,1,1943
16,19,1,1087
17,19,1,410
18,19,1,0
19,19,1,0
20,19,1,0
21,19,1,0
22,19,1,0
23,19,1,0
0,20,1,0
1,20,1,0
2,20,1,0
3,20,1,0
4,20,1,0
5,20,1,0
6,20,1,0
7,20,1,169
8,20,1,91
9,20,1,180
10,20,1,509
11,20,1,379
12,20,1,893
13,20,1,253
14,20,1,1877
15,20,1,108
16,20,1,79
17,20,1,90
18,20,1,0
19,20,1,0
20,20,1,0
21,20,1,0
22,20,1,0
23,20,1,0
0,21,1,0
1,21,1,0
2,21,1,0
3,21,1,0
4,21,1,0
5,21,1,0
6,21,1,0
7,21,1,123
8,21,1,57
9,21,1,648
10,21,1,349
11,21,1,732
12,21,1,455
13,21,1,2975
14,21,1,833
15,21,1,1393
16,21,1,131
17,21,1,2057
18,21,1,0
19,21,1,0
20,21,1,0
21,21,1,0
22,21,1,0
23,21,1,0
0,23,1,0
1,23,1,0
2,23,1,0
3,23,1,0
4,23,1,0
5,23,1,0
6,23,1,0
7,23,1,108
8,23,1,156
9,23,1,81
10,23,1,574
11,23,1,315
12,23,1,1058
13,23,1,821
14,23,1,486
15,23,1,914
16,23,1,1323
17,23,1,116
18,23,1,0
19,23,1,0
20,23,1,0
21,23,1,0
22,23,1,0
23,23,1,0
0,24,1,0
1,24,1,0
2,24,1,0
3,24,1,0
4,24,1,0
5,24,1,0
6,24,1,0
7,24,1,44
8,24,1,219
9,24,1,1331
10,24,1,2069
11,24,1,1093
12,24,1,721
13,24,1,2461
14,24,1,760
15,24,1,450
16,24,1,335
17,24,1,50
18,24,1,0
19,24,1,0
20,24,1,0
21,24,1,0
22,24,1,0
23,24,1,0
0,25,1,0
1,25,1,0
2,25,1,0
3,25,1,0
4,25,1,0
5,25,1,0
6,25,1,0
7,25,1,49
8,25,1,661
9,25,1,603
10,25,1,2788
11,25,1,2306
12,25,1,1902
13,25,1,2654
14,25,1,1489
15,25,1,537
16,25,1,170
17,25,1,211
18,25,1,0
19,25,1,0
20,25,1,0
21,25,1,0
22,25,1,0
23,25,1,0
0,26,1,0
1,26,1,0
2,26,1,0
3,26,1,0
4,26,1,0
5,26,1,0
6,26,1,0
7,26,1,102
8,26,1,217
9,26,1,402
10,26,1,797
11,26,1,3563
12,26,1,1102
13,26,1,1413
14,26,1,492
15,26,1,405
16,26,1,803
17,26,1,290
18,26,1,0
19,26,1,0
20,26,1,0
21,26,1,0
22,26,1,0
23,26,1,0
0,27,1,0
1,27,1,0
2,27,1,0
3,27,1,0
4,27,1,0
5,27,1,0
6,27,1,0
7,27,1,108
8,27,1,547
9,27,1,507
10,27,1,1337
11,27,1,559
12,27,1,1115
13,27,1,1977
14,27,1,614
15,27,1,2113
16,27,1,839
17,27,1,63
18,27,1,0
19,27,1,0
20,27,1,0
21,27,1,0
22,27,1,0
23,27,1,0
0,28,1,0
1,28,1,0
2,28,1,0
3,28,1,0
4,28,1,0
5,28,1,0
6,28,1,0
7,28,1,56
8,28,1,153
9,28,1,64
10,28,1,744
11,28,1,671
12,28,1,10079
13,28,1,1130
14,28,1,887
15,28,1,496
16,28,1,223
17,28,1,72
18,28,1,0
19,28,1,0
20,28,1,0
21,28,1,0
22,28,1,0
23,28,1,0
0,30,1,0
1,30,1,0
2,30,1,0
3,30,1,0
4,30,1,0
5,30,1,0
6,30,1,0
7,30,1,107
8,30,1,132
9,30,1,36
10,30,1,279
11,30,1,410
12,30,1,256
13,30,1,487
14,30,1,1331
15,30,1,943
16,30,1,31
17,30,1,111
18,30,1,0
19,30,1,0
20,30,1,0
21,30,1,0
22,30,1,0
23,30,1,0
0,31,1,0
1,31,1,0
2,31,1,0
3,31,1,0
4,31,1,0
5,31,1,0
6,31,1,0
7,31,1,80
8,31,1,270
9,31,1,1179
10,31,1,1067
11,31,1,621
12,31,1,3139
13,31,1,1594
14,31,1,833
15,31,1,1033
16,31,1,428
17,31,1,145
18,31,1,0
19,31,1,0
20,31,1,0
21,31,1,0
22,31,1,0
23,31,1,0
0,1,2,0
1,1,2,0
2,1,2,0
3,1,2,0
4,1,2,0
5,1,2,0
6,1,2,0
7,1,2,199
8,1,2,311
9,1,2,691
10,1,2,4756
11,1,2,1799
12,1,2,1640
13,1,2,3270
14,1,2,555
15,1,2,829
16,1,2,548
17,1,2,44
18,1,2,0
19,1,2,0
20,1,2,0
21,1,2,0
22,1,2,0
23,1,2,0
0,2,2,0
1,2,2,0
2,2,2,0
3,2,2,0
4,2,2,0
5,2,2,0
6,2,2,0
7,2,2,728
8,2,2,87
9,2,2,295
10,2,2,2080
11,2,2,785
12,2,2,1610
13,2,2,1534
14,2,2,1183
15,2,2,231
16,2,2,188
17,2,2,810
18,2,2,0
19,2,2,0
20,2,2,0
21,2,2,0
22,2,2,0
23,2,2,0
0,3,2,0
1,3,2,0
2,3,2,0
3,3,2,0
4,3,2,0
5,3,2,0
6,3,2,0
7,3,2,37
8,3,2,203
9,3,2,776
10,3,2,4706
11,3,2,914
12,3,2,6603
13,3,2,1201
14,3,2,956
15,3,2,514
16,3,2,61
17,3,2,343
18,3,2,0
19,3,2,0
20,3,2,0
21,3,2,0
22,3,2,0
23,3,2,0
0,4,2,0
1,4,2,0
2,4,2,0
3,4,2,0
4,4,2,0
5,4,2,0
6,4,2,0
7,4,2,101
8,4,2,1958
9,4,2,1053
10,4,2,570
11,4,2,3868
12,4,2,814
13,4,2,1262
14,4,2,1921
15,4,2,263
16,4,2,41
17,4,2,139
18,4,2,0
19,4,2,0
20,4,2,0
21,4,2,0
22,4,2,0
23,4,2,0
0,6,2,0
1,6,2,0
2,6,2,0
3,6,2,0
4,6,2,0
5,6,2,0
6,6,2,0
7,6,2,134
8,6,2,84
9,6,2,103
10,6,2,102
11,6,2,413
12,6,2,139
13,6,2,509
14,6,2,1143
15,6,2,48
16,6,2,123
17,6,2,7
18,6,2,0
19,6,2,0
20,6,2,0
21,6,2,0
22,6,2,0
23,6,2,0
0,7,2,0
1,7,2,0
2,7,2,0
3,7,2,0
4,7,2,0
5,7,2,0
6,7,2,0
7,7,2,110
8,7,2,61
9,7,2,669
10,7,2,504
11,7,2,1709
12,7,2,631
13,7,2,1012
14,7,2,1021
15,7,2,2890
16,7,2,259
17,7,2,32
18,7,2,0
19,7,2,0
20,7,2,0
21,7,2,0
22,7,2,0
23,7,2,0
0,8,2,0
1,8,2,0
2,8,2,0
3,8,2,0
4,8,2,0
5,8,2,0
6,8,2,0
7,8,2,63
8,8,2,54
9,8,2,126
10,8,2,1712
11,8,2,806
12,8,2,2391
13,8,2,335
14,8,2,2746
15,8,2,975
16,8,2,140
17,8,2,105
18,8,2,0
19,8,2,0
20,8,2,0
21,8,2,0
22,8,2,0
23,8,2,0
0,9,2,0
1,9,2,0
2,9,2,0
3,9,2,0
4,9,2,0
5,9,2,0
6,9,2,0
7,9,2,78
8,9,2,98
9,9,2,142
10,9,2,499
11,9,2,509
12,9,2,600
13,9,2,1007
14,9,2,204
15,9,2,500
16,9,2,522
17,9,2,121
18,9,2,0
19,9,2,0
20,9,2,0
21,9,2,0
22,9,2,0
23,9,2,0
0,10,2,0
1,10,2,0
2,10,2,0
3,10,2,0
4,10,2,0
5,10,2,0
6,10,2,0
7,10,2,4
8,10,2,25
9,10,2,4967
10,10,2,1201
11,10,2,1509
12,10,2,1344
13,10,2,623
14,10,2,722
15,10,2,257
16,10,2,474
17,10,2,168
18,10,2,0
19,10,2,0
20,10,2,0
21,10,2,0
22,10,2,0
23,10,2,0
0,11,2,0
1,11,2,0
2,11,2,0
3,11,2,0
4,11,2,0
5,11,2,0
6,11,2,0
7,11,2,90
8,11,2,297
9,11,2,241
10,11,2,1539
11,11,2,4365
12,11,2,1238
13,11,2,479
14,11,2,147
15,11,2,1291
16,11,2,193
17,11,2,105
18,11,2,0
19,11,2,0
20,11,2,0
21,11,2,0
22,11,2,0
23,11,2,0
0,13,2,0
1,13,2,0
2,13,2,0
3,13,2,0
4,13,2,0
5,13,2,0
6,13,2,0
7,13,2,115
8,13,2,59
9,13,2,41
10,13,2,103
11,13,2,891
12,13,2,810
13,13,2,304
14,13,2,248
15,13,2,562
16,13,2,345
17,13,2,90
18,13,2,0
19,13,2,0
20,13,2,0
21,13,2,0
22,13,2,0
23,13,2,0
0,14,2,0
1,14,2,0
2,14,2,0
3,14,2,0
4,14,2,0
5,14,2,0
6,14,2,0
7,14,2,60
8,14,2,114
9,14,2,4751
10,14,2,559
11,14,2,1875
12,14,2,993
13,14,2,551
14,14,2,683
15,14,2,1841
16,14,2,99
17,14,2,93
18,14,2,0
19,14,2,0
20,14,2,0
21,14,2,0
22,14,2,0
23,14,2,0
0,15,2,0
1,15,2,0
2,15,2,0
3,15,2,0
4,15,2,0
5,15,2,0
6,15,2,0
7,15,2,61
8,15,2,376
9,15,2,1159
10,15,2,4262
11,15,2,1152
12,15,2,1007
13,15,2,804
14,15,2,1037
15,15,2,892
16,15,2,86
17,15,2,670
18,15,2,0
19,15,2,0
20,15,2,0
21,15,2,0
22,15,2,0
23,15,2,0
0,16,2,0
1,16,2,0
2,16,2,0
3,16,2,0
4,16,2,0
5,16,2,0
6,16,2,0
7,16,2,107
8,16,2,272
9,16,2,654
10,16,2,1514
11,16,2,965
12,16,2,4594
13,16,2,1680
14,16,2,2102
15,16,2,1150
16,16,2,877
17,16,2,96
18,16,2,0
19,16,2,0
20,16,2,0
21,16,2,0
22,16,2,0
23,16,2,0
0,17,2,0
1,17,2,0
2,17,2,0
3,17,2,0
4,17,2,0
5,17,2,0
6,17,2,0
7,17,2,144
8,17,2,573
9,17,2,255
10,17,2,794
11,17,2,1219
12,17,2,6627
13,17,2,487
14,17,2,2059
15,17,2,1280
16,17,2,327
17,17,2,267
18,17,2,0
19,17,2,0
20,17,2,0
21,17,2,0
22,17,2,0
23,17,2,0
0,18,2,0
1,18,2,0
2,18,2,0
3,18,2,0
4,18,2,0
5,18,2,0
6,18,2,0
7,18,2,111
8,18,2,538
9,18,2,899
10,18,2,973
11,18,2,2356
12,18,2,1727
13,18,2,109
14,18,2,420
15,18,2,213
16,18,2,565
17,18,2,128
18,18,2,0
19,18,2,0
20,18,2,0
21,18,2,0
22,18,2,0
23,18,2,0
0,20,2,0
1,20,2,0
2,20,2,0
3,20,2,0
4,20,2,0
5,20,2,0
6,20,2,0
7,20,2,90
8,20,2,63
9,20,2,97
10,20,2,1094
11,20,2,178
12,20,2,809
13,20,2,1417
14,20,2,1720
15,20,2,476
16,20,2,74
17,20,2,68
18,20,2,0
19,20,2,0
20,20,2,0
21,20,2,0
22,20,2,0
23,20,2,0
0,21,2,0
1,21,2,0
2,21,2,0
3,21,2,0
4,21,2,0
5,21,2,0
6,21,2,0
7,21,2,31
8,21,2,392
9,21,2,607
10,21,2,1286
11,21,2,649
12,21,2,1216
13,21,2,1181
14,21,2,176
15,21,2,1030
16,21,2,64
17,21,2,331
18,21,2,0
19,21,2,0
20,21,2,0
21,21,2,0
22,21,2,0
23,21,2,0
0,22,2,0
1,22,2,0
2,22,2,0
3,22,2,0
4,22,2,0
5,22,2,0
6,22,2,0
7,22,2,176
8,22,2,157
9,22,2,1141
10,22,2,4487
11,22,2,1929
12,22,2,2487
13,22,2,2029
14,22,2,613
15,22,2,3747
16,22,2,1727
17,22,2,798
18,22,2,0
19,22,2,0
20,22,2,0
21,22,2,0
22,22,2,0
23,22,2,0
0,23,2,0
1,23,2,0
2,23,2,0
3,23,2,0
4,23,2,0
5,23,2,0
6,23,2,0
7,23,2,54
8,23,2,307
9,23,2,2336
10,23,2,1537
11,23,2,1540
12,23,2,3696
13,23,2,1811
14,23,2,434
15,23,2,873
16,23,2,427
17,23,2,93
18,23,2,0
19,23,2,0
20,23,2,0
21,23,2,0
22,23,2,0
23,23,2,0
0,24,2,0
1,24,2,0
2,24,2,0
3,24,2,0
4,24,2,0
5,24,2,0
6,24,2,0
7,24,2,53
8,24,2,145
9,24,2,1625
10,24,2,1121
11,24,2,795
12,24,2,1496
13,24,2,373
14,24,2,2674
15,24,2,1157
16,24,2,1572
17,24,2,358
18,24,2,0
19,24,2,0
20,24,2,0
21,24,2,0
22,24,2,0
23,24,2,0
0,25,2,0
1,25,2,0
2,25,2,0
3,25,2,0
4,25,2,0
5,25,2,0
6,25,2,0
7,25,2,114
8,25,2,184
9,25,2,747
10,25,2,2253
11,25,2,1026
12,25,2,1452
13,25,2,1787
14,25,2,1799
15,25,2,924
16,25,2,182
17,25,2,320
18,25,2,0
19,25,2,0
20,25,2,0
21,25,2,0
22,25,2,0
23,25,2,0
0,27,2,0
1,27,2,0
2,27,2,0
3,27,2,0
4,27,2,0
5,27,2,0
6,27,2,0
7,27,2,11
8,27,2,205
9,27,2,46
10,27,2,714
11,27,2,1149
12,27,2,1440
13,27,2,675
14,27,2,460
15,27,2,562
16,27,2,159
17,27,2,61
18,27,2,0
19,27,2,0
20,27,2,0
21,27,2,0
22,27,2,0
23,27,2,0
0,28,2,0
1,28,2,0
2,28,2,0
3,28,2,0
4,28,2,0
5,28,2,0
6,28,2,0
7,28,2,125
8,28,2,111
9,28,2,851
10,28,2,1096
11,28,2,969
12,28,2,1066
13,28,2,1437
14,28,2,815
15,28,2,1053
16,28,2,1656
17,28,2,307
18,28,2,0
19,28,2,0
20,28,2,0
21,28,2,0
22,28,2,0
23,28,2,0
0,1,3,0
1,1,3,0
2,1,3,0
3,1,3,0
4,1,3,0
5,1,3,0
6,1,3,0
7,1,3,67
8,1,3,486
9,1,3,285
10,1,3,1218
11,1,3,1887
12,1,3,1136
13,1,3,693
14,1,3,1392
15,1,3,659
16,1,3,796
17,1,3,318
18,1,3,0
19,1,3,0
20,1,3,0
21,1,3,0
22,1,3,0
23,1,3,0
0,2,3,0
1,2,3,0
2,2,3,0
3,2,3,0
4,2,3,0
5,2,3,0
6,2,3,0
7,2,3,66
8,2,3,1039
9,2,3,738
10,2,3,225
11,2,3,1258
12,2,3,2276
13,2,3,833
14,2,3,959
15,2,3,196
16,2,3,996
17,2,3,277
18,2,3,0
19,2,3,0
20,2,3,0
21,2,3,0
22,2,3,0
23,2,3,0
0,3,3,0
1,3,3,0
2,3,3,0
3,3,3,0
4,3,3,0
5,3,3,0
6,3,3,0
7,3,3,52
8,3,3,761
9,3,3,1120
10,3,3,1055
11,3,3,33
12,3,3,1453
13,3,3,1452
14,3,3,812
15,3,3,143
16,3,3,985
17,3,3,44
18,3,3,0
19,3,3,0
20,3,3,0
21,3,3,0
22,3,3,0
23,3,3,0
0,4,3,0
1,4,3,0
2,4,3,0
3,4,3,0
4,4,3,0
5,4,3,0
